date,temperature,relative_humidity,pressure,wind_speed,wind_direction,visibility
2015-01-20,20,64.07,30.05,0,0,10.0
2021-05-29,26,73.97,29.99,3,120,10.0
2017-07-15,28,74.3,30.04,5,90,10.0
2015-11-07,30,62.28,30.02,12,120,10.0
2016-12-22,26,61.39,30.13,8,50,10.0
2015-09-20,27,83.68,29.86,3,270,10.0
2016-01-09,23,88.52,29.89,0,0,10.0
2023-07-29,29,79.06,30.12,4,110,10.0
2014-03-06,23,88.52,29.91,5,110,10.0
2014-03-02,26,50.73,30.2,12,80,10.0
2022-03-05,23,78.21,30.19,11,80,10.0
2019-04-25,22,83.11,29.97,3,80,10.0
2022-06-14,31,66.38,30.07,9,110,10.0
2021-05-04,27,78.78,30.03,7,120,10.0
2022-12-07,22,78.06,30.19,4,360,10.0
2020-09-04,33,59.27,30.04,8,50,10.0
2020-03-30,25,83.45,30.1,5,120,10.0
2016-03-26,30,58.58,30.08,11,130,10.0
2023-05-17,25,88.68,29.89,5,270,10.0
2022-07-21,28,74.3,30.02,6,140,10.0
2021-08-18,29,79.06,30.06,9,110,10.0
2019-10-03,30,62.28,29.94,12,80,10.0
2014-12-06,25,65.15,30.2,7,50,10.0
2020-03-13,22,68.77,30.08,0,0,10.0
2014-02-10,23,73.46,30.09,6,340,10.0
2020-12-10,17,59.28,30.22,9,350,10.0
2016-05-13,27,61.61,30.07,4,350,10.0
2018-11-06,29,65.98,29.98,7,100,10.0
2023-07-21,29,79.06,30.01,0,0,10.0
2018-05-23,28,74.3,30.05,12,110,10.0
2015-09-01,27,88.84,30.04,0,0,10.0
2020-07-21,29,74.47,29.98,8,80,10.0
2016-08-12,31,74.79,30.03,10,110,10.0
2016-07-03,28,83.79,30.08,5,100,10.0
2017-07-26,32,59.04,30.02,9,100,10.0
2017-10-06,28,88.92,29.9,8,100,10.0
2018-10-25,25,78.5,29.98,3,340,10.0
2016-07-17,31,62.5,30.1,14,80,10.0
2023-05-24,24,88.6,29.82,5,100,10.0
2021-03-04,16,77.16,30.01,5,310,10.0
2021-08-30,28,78.92,30.03,0,0,10.0
2020-02-27,18,42.31,30.16,5,340,10.0
2023-10-06,30,66.18,29.91,4,350,10.0
2022-08-07,28,78.92,30.1,9,80,10.0
2018-08-03,29,74.47,30.09,9,100,10.0
2018-02-06,26,69.55,30.27,10,90,10.0
2021-11-14,21,88.35,30.0,4,350,10.0
2018-12-02,24,88.6,30.0,7,150,10.0
2015-02-07,19,63.85,30.17,8,40,10.0
2020-10-26,26,88.76,29.93,5,130,10.0
2023-10-23,29,48.35,30.04,8,30,10.0
2014-07-18,28,78.92,30.07,4,200,10.0
2018-12-16,21,88.35,30.12,0,0,10.0
2017-09-03,27,94.27,30.04,0,0,10.0
2016-02-23,24,88.6,29.9,6,150,10.0
2015-01-24,23,88.52,29.93,8,180,10.0
2015-08-28,27,83.68,29.99,7,90,10.0
2023-07-03,27,88.84,30.01,0,0,10.0
2021-07-07,29,79.06,30.05,6,140,10.0
2017-10-27,23,64.72,30.01,5,360,10.0
2015-01-28,15,77.0,30.06,8,320,10.0
2022-03-19,28,74.3,30.06,11,110,10.0
2017-08-10,29,70.11,30.08,5,30,10.0
2021-10-26,26,88.76,29.91,4,260,10.0
2022-07-24,31,58.81,30.11,13,90,10.0
2022-02-09,18,88.1,29.98,6,340,10.0
2019-06-16,27,74.14,29.99,5,130,10.0
2016-09-08,27,88.84,30.02,3,20,10.0
2014-07-27,26,88.76,30.09,3,310,10.0
2022-08-12,29,70.11,30.07,9,110,10.0
2014-01-22,16,93.79,29.95,6,220,10.0
2017-07-15,29,74.47,30.08,11,90,10.0
2014-03-23,30,51.76,29.98,14,250,10.0
2016-12-28,27,61.61,30.09,9,120,10.0
2022-03-01,19,88.19,30.05,7,260,6.0
2015-03-11,26,73.97,30.14,7,120,10.0
2016-01-21,14,82.14,30.18,0,0,10.0
2020-08-14,31,62.5,29.96,9,100,10.0
2021-05-23,24,60.93,30.16,5,60,10.0
2017-08-09,29,70.11,30.0,9,90,10.0
2016-05-24,25,69.36,30.0,4,210,10.0
2015-08-22,30,70.29,29.97,5,190,10.0
2022-06-29,29,70.11,30.14,4,110,10.0
2021-04-16,25,69.36,29.93,8,200,10.0
2021-10-06,27,83.68,30.03,5,80,10.0
2020-01-29,20,72.94,29.95,5,340,10.0
2014-05-19,24,64.93,30.1,7,40,10.0
2015-12-26,27,74.14,30.22,15,100,10.0
2021-04-04,23,40.89,30.17,14,80,10.0
2015-10-02,30,58.58,29.62,3,300,10.0
2017-03-04,22,56.66,30.3,12,40,10.0
2021-03-12,21,73.11,30.23,4,360,10.0
2018-01-11,24,83.34,30.03,7,140,10.0
2014-03-07,21,77.92,29.84,9,230,10.0
2020-03-16,27,54.33,30.16,12,60,10.0
2018-10-11,27,94.27,29.91,4,190,10.0
2021-06-07,28,74.3,30.11,11,120,10.0
2022-03-04,27,44.83,30.22,14,50,10.0
2019-06-01,26,83.57,29.94,0,0,10.0
2023-08-23,28,78.92,29.89,3,10,10.0
2018-03-26,22,73.29,30.12,3,270,10.0
2021-04-07,22,60.47,30.09,10,100,10.0
2014-01-27,21,73.11,30.05,3,190,10.0
2021-04-29,25,83.45,30.04,6,100,10.0
2023-07-24,31,58.81,30.12,0,0,10.0
2016-09-21,31,66.38,30.0,3,110,10.0
2017-07-09,32,59.04,30.09,8,120,10.0
2023-06-14,27,83.68,29.97,3,190,10.0
2020-10-27,31,62.5,30.01,12,80,10.0
2022-06-14,29,74.47,30.04,5,120,10.0
2021-08-10,28,83.79,30.1,3,340,10.0
2021-10-02,26,78.64,30.06,4,40,10.0
2015-11-01,26,83.57,30.03,7,110,10.0
2020-12-04,24,60.93,30.08,11,130,10.0
2020-07-25,31,66.38,29.99,13,80,10.0
2017-11-26,20,82.87,30.03,3,350,10.0
2021-01-06,23,28.99,30.05,0,0,10.0
2020-03-16,28,48.09,30.22,12,60,10.0
2015-01-19,22,43.45,30.16,6,50,10.0
2019-07-02,27,83.68,30.0,6,310,10.0
2017-03-07,25,57.39,30.25,14,100,10.0
2014-11-08,27,54.33,29.91,7,110,10.0
2019-07-04,29,74.47,29.99,3,300,10.0
2022-06-28,29,70.11,30.01,9,130,10.0
2015-04-01,27,44.83,30.08,8,130,10.0
2023-06-27,27,88.84,29.99,4,10,10.0
2020-08-28,28,83.79,30.08,3,190,10.0
2015-07-20,29,62.06,30.06,4,180,10.0
2018-07-22,29,70.11,29.99,5,280,10.0
2021-07-15,27,83.68,30.11,3,360,10.0
